Source;Threads;Input;Result;Output
parallel;1;10x5M;112.011864;ok
parallel;2;10x1M;3.423986;ok
parallel;2;10x2M;7.623526;ok
parallel;2;10x5M;64.417517;ok
parallel;4;10x1M;4.291178;ok
parallel;4;10x2M;9.839485;ok
parallel;4;10x5M;58.926568;ok
parallel;8;10x1M;7.148185;ok
parallel;8;10x2M;11.703593;ok
parallel;8;10x5M;67.901240;ok
parallel;1;10x1M;5.408736;ok
parallel;1;10x2M;12.126076;ok
parallel;1;10x5M;112.019439;ok
parallel;2;10x1M;3.365222;ok
parallel;2;10x2M;7.658580;ok
parallel;2;10x5M;64.217382;ok
parallel;4;10x1M;4.123395;ok
parallel;4;10x2M;9.779213;ok
parallel;4;10x5M;58.542872;ok
parallel;8;10x1M;6.800592;ok
parallel;8;10x2M;13.425217;ok
parallel;8;10x5M;68.353701;ok
parallel;1;10x1M;5.411486;ok
parallel;1;10x2M;12.122481;ok
parallel;1;10x5M;112.064835;ok
parallel;2;10x1M;3.363670;ok
parallel;2;10x2M;7.673649;ok
parallel;2;10x5M;64.348265;ok
parallel;4;10x1M;4.298140;ok
parallel;4;10x2M;9.699773;ok
parallel;4;10x5M;58.983227;ok
parallel;8;10x1M;6.091001;ok
parallel;8;10x2M;13.052736;ok
parallel;8;10x5M;68.254680;ok
parallel;1;10x1M;5.426938;ok
parallel;1;10x2M;12.133645;ok
parallel;1;10x5M;112.204803;ok
parallel;2;10x1M;3.434624;ok
parallel;2;10x2M;7.577281;ok
parallel;2;10x5M;67.491946;ok
parallel;4;10x1M;4.278766;ok
parallel;4;10x2M;9.941406;ok
parallel;4;10x5M;58.477094;ok
parallel;8;10x1M;6.941509;ok
parallel;8;10x2M;12.734984;ok
parallel;8;10x5M;68.127579;ok
parallel;1;10x1M;5.412184;ok
parallel;1;10x2M;12.149912;ok
parallel;1;10x5M;112.125162;ok
parallel;2;10x1M;3.438488;ok
parallel;2;10x2M;7.691938;ok
parallel;2;10x5M;64.393474;ok
parallel;4;10x1M;4.302238;ok
parallel;4;10x2M;9.808963;ok
parallel;4;10x5M;58.455028;ok
parallel;8;10x1M;5.726555;ok
parallel;8;10x2M;12.689081;ok
parallel;8;10x5M;68.610534;ok
parallel;1;10x1M;5.410641;ok
parallel;1;10x2M;12.138700;ok
parallel;1;10x5M;112.042432;ok
parallel;2;10x1M;3.430078;ok
parallel;2;10x2M;7.597765;ok
parallel;2;10x5M;64.152052;ok
parallel;4;10x1M;4.289285;ok
parallel;4;10x2M;9.843920;ok
parallel;4;10x5M;59.045211;ok
parallel;8;10x1M;6.543552;ok
parallel;8;10x2M;12.539390;ok
parallel;8;10x5M;67.607216;ok
parallel;1;10x1M;5.410582;ok
parallel;1;10x2M;12.152914;ok
parallel;1;10x5M;112.064048;ok
parallel;2;10x1M;3.425748;ok
parallel;2;10x2M;7.715630;ok
parallel;2;10x5M;64.249305;ok
parallel;4;10x1M;4.288555;ok
parallel;4;10x2M;9.965163;ok
parallel;4;10x5M;59.140391;ok
parallel;8;10x1M;6.840903;ok
parallel;8;10x2M;12.659942;ok
parallel;8;10x5M;68.273335;ok
parallel;1;10x1M;5.507534;ok
parallel;1;10x2M;12.195647;ok
parallel;1;10x5M;112.026575;ok
parallel;2;10x1M;3.439217;ok
parallel;2;10x2M;7.617433;ok
parallel;2;10x5M;64.444446;ok
parallel;4;10x1M;4.311753;ok
parallel;4;10x2M;9.806654;ok
parallel;4;10x5M;59.159306;ok
parallel;8;10x1M;6.400586;ok
parallel;8;10x2M;12.612167;ok
parallel;8;10x5M;67.342698;ok
parallel;1;10x1M;5.410609;ok
parallel;1;10x2M;12.124914;ok
parallel;1;10x5M;112.015268;ok
